Date,Predicted Spending
2023-07-06,233.08001058574453
2023-07-07,236.0071894848271
2023-07-08,238.93436838390966
2023-07-09,241.86154728299223
2023-07-10,244.7887261820748
2023-07-11,247.7159050811574
2023-07-12,250.64308398023994
2023-07-13,253.5702628793225
2023-07-14,256.4974417784051
2023-07-15,259.42462067748767
2023-07-16,262.3517995765702
2023-07-17,265.2789784756528
2023-07-18,268.20615737473537
2023-07-19,271.1333362738179
2023-07-20,274.0605151729005
2023-07-21,276.98769407198307
2023-07-22,279.9148729710656
2023-07-23,282.8420518701482
2023-07-24,285.7692307692308
2023-07-25,288.6964096683133
2023-07-26,291.6235885673959
2023-07-27,294.55076746647853
2023-07-28,297.477946365561
2023-07-29,300.40512526464363
2023-07-30,303.33230416372623
2023-07-31,306.2594830628088
2023-08-01,233.35557074805928
